ID,0 to 0.5 km,0.5 to 1 km,1 to 1.5 km,1.5 to 2 km,2 to 2.5 km,2.5 to 3 km,3 to 3.5 km,3.5 to 4 km,4 to 4.5 km,4.5 to 5 km,5 to 5.5 km,5.5 to 6 km,6 to 6.5 km,6.5 to 7 km,7 to 7.5 km,7.5 to 8 km,8 to 8.5 km,8.5 to 9 km,9 to 9.5 km,9.5 to 10 km,>10 km
36,9,44,58,65,59,47,31,24,24,11,12,9,7,12,1,6,4,3,2,3,13
492,11,42,63,55,63,38,24,30,15,22,16,12,7,8,8,2,2,2,3,3,18
745,10,33,65,82,65,42,29,25,21,11,15,12,6,6,5,1,4,0,0,3,9
944,7,38,72,74,41,59,28,25,24,23,13,7,6,5,8,6,0,0,1,2,5
73,5,51,68,53,58,61,27,28,27,14,11,10,5,5,2,3,1,3,2,1,8
586,6,50,46,82,59,42,29,34,23,18,9,10,6,6,5,3,0,1,3,0,11
656,7,45,67,69,56,38,27,35,21,24,9,7,12,5,4,4,3,1,0,1,8
670,6,40,66,77,45,46,33,25,21,17,15,8,15,7,6,2,1,1,1,1,10
687,10,41,62,80,56,40,26,35,20,16,11,7,4,7,4,8,2,3,2,0,9
170,11,49,53,79,63,39,23,27,28,18,8,10,9,6,1,7,4,2,2,0,3
672,8,41,54,69,48,43,42,35,22,15,19,8,8,6,4,5,4,2,2,2,5
229,10,35,65,75,52,50,39,29,23,11,11,10,9,6,3,6,2,0,0,1,4
572,10,44,66,69,56,31,26,31,30,12,12,12,9,3,5,4,1,4,0,3,13
764,8,33,52,75,64,37,33,25,22,17,19,7,6,15,5,6,5,5,1,0,6
20,8,45,59,57,61,48,36,30,24,21,11,7,7,7,3,5,2,0,1,1,7
664,7,39,68,53,63,51,28,23,26,11,20,6,10,5,10,3,2,2,0,2,11
183,6,45,55,89,53,37,26,29,27,20,10,6,10,7,6,2,3,0,1,0,7
520,12,53,71,53,51,34,23,24,32,26,10,11,7,9,5,4,1,2,1,1,9
581,11,30,68,61,69,39,28,31,27,18,19,6,4,6,6,3,4,0,1,1,7
989,7,45,55,60,61,45,29,27,25,24,19,15,7,3,4,5,3,0,0,0,5
369,4,35,64,75,54,57,22,30,20,14,11,8,10,5,7,5,2,0,5,1,9
543,7,41,63,68,58,50,29,28,21,14,16,3,8,4,3,5,3,2,1,0,13
597,6,31,62,75,49,46,28,33,22,20,12,10,4,6,8,7,2,2,2,2,10
205,4,37,77,69,48,40,29,27,31,15,12,15,6,3,6,4,1,2,1,0,9
371,13,53,58,73,58,44,39,25,26,11,10,6,2,5,1,5,3,0,0,0,4
435,6,38,71,65,58,58,28,23,18,12,10,6,6,8,5,10,4,0,0,1,9
